Color         	Position	Sample Name	Gene Name	Cq   	Concentration	Call    	Excluded 	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye         	Edited Call	Slope	EPF 	Failure	Notes	Sample Prep Notes	Number
155;67;123;181	A1      	Sample 1   	None     	26.28	-            	Positive	Unchecked	Unknown    	-       	26.28  	0.00    	-                 	-                  	               	SYBR Green I	           	1.30 	4.46	None   	     	                 	1     
155;67;123;181	A2      	Sample 2   	None     	27.00	-            	Positive	Unchecked	Unknown    	-       	27.00  	0.00    	-                 	-                  	               	SYBR Green I	           	1.19 	4.12	None   	     	                 	2     
155;67;123;181	A3      	Sample 3   	None     	26.89	-            	Positive	Unchecked	Unknown    	-       	26.89  	0.00    	-                 	-                  	               	SYBR Green I	           	1.18 	4.14	None   	     	                 	3     
155;67;123;181	A4      	Sample 4   	None     	27.37	-            	Positive	Unchecked	Unknown    	-       	27.37  	0.00    	-                 	-                  	               	SYBR Green I	           	1.18 	4.34	None   	     	                 	4     
155;67;123;181	A5      	Sample 5   	None     	27.64	-            	Positive	Unchecked	Unknown    	-       	27.64  	0.00    	-                 	-                  	               	SYBR Green I	           	1.20 	4.47	None   	     	                 	5     
155;67;123;181	A6      	Sample 6   	None     	28.48	-            	Positive	Unchecked	Unknown    	-       	28.48  	0.00    	-                 	-                  	               	SYBR Green I	           	1.06 	3.90	None   	     	                 	6     
155;67;123;181	A7      	Sample 7   	None     	30.34	-            	Positive	Unchecked	Unknown    	-       	30.34  	0.00    	-                 	-                  	               	SYBR Green I	           	1.03 	3.94	None   	     	                 	7     
155;67;123;181	A8      	Sample 8   	None     	28.64	-            	Positive	Unchecked	Unknown    	-       	28.64  	0.00    	-                 	-                  	               	SYBR Green I	           	1.18 	4.21	None   	     	                 	8     
155;67;123;181	A9      	Sample 9   	None     	24.11	-            	Positive	Unchecked	Unknown    	-       	24.11  	0.00    	-                 	-                  	               	SYBR Green I	           	1.13 	4.31	None   	     	                 	9     
155;67;123;181	A10     	Sample 10  	None     	24.29	-            	Positive	Unchecked	Unknown    	-       	24.29  	0.00    	-                 	-                  	               	SYBR Green I	           	1.10 	3.98	None   	     	                 	10    
155;67;123;181	A11     	Sample 11  	None     	24.94	-            	Positive	Unchecked	Unknown    	-       	24.94  	0.00    	-                 	-                  	               	SYBR Green I	           	1.16 	4.15	None   	     	                 	11    
155;67;123;181	A12     	Sample 12  	None     	25.35	-            	Positive	Unchecked	Unknown    	-       	25.35  	0.00    	-                 	-                  	               	SYBR Green I	           	0.94 	4.17	None   	     	                 	12    
