Color         	Position	Sample Name	Gene Name	Cq   	Concentration	Call    	Excluded 	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye         	Edited Call	Slope	EPF 	Failure	Notes	Sample Prep Notes	Number
155;67;123;181	A1      	Sample 1   	None     	23.42	-            	Positive	Unchecked	Unknown    	-       	23.42  	0.00    	-                 	-                  	               	SYBR Green I	           	0.36 	2.61	None   	     	                 	1     
155;67;123;181	A2      	Sample 2   	None     	23.22	-            	Positive	Unchecked	Unknown    	-       	23.22  	0.00    	-                 	-                  	               	SYBR Green I	           	0.40 	2.81	None   	     	                 	2     
155;67;123;181	A3      	Sample 3   	None     	23.27	-            	Positive	Unchecked	Unknown    	-       	23.27  	0.00    	-                 	-                  	               	SYBR Green I	           	0.41 	2.86	None   	     	                 	3     
155;67;123;181	A4      	Sample 4   	None     	21.19	-            	Positive	Unchecked	Unknown    	-       	21.19  	0.00    	-                 	-                  	               	SYBR Green I	           	0.51 	2.86	None   	     	                 	4     
155;67;123;181	A5      	Sample 5   	None     	21.19	-            	Positive	Unchecked	Unknown    	-       	21.19  	0.00    	-                 	-                  	               	SYBR Green I	           	0.47 	2.82	None   	     	                 	5     
155;67;123;181	A6      	Sample 6   	None     	21.29	-            	Positive	Unchecked	Unknown    	-       	21.29  	0.00    	-                 	-                  	               	SYBR Green I	           	0.46 	2.74	None   	     	                 	6     
155;67;123;181	A7      	Sample 7   	None     	21.47	-            	Positive	Unchecked	Unknown    	-       	21.47  	0.00    	-                 	-                  	               	SYBR Green I	           	0.42 	2.63	None   	     	                 	7     
155;67;123;181	A8      	Sample 8   	None     	21.33	-            	Positive	Unchecked	Unknown    	-       	21.33  	0.00    	-                 	-                  	               	SYBR Green I	           	0.48 	2.83	None   	     	                 	8     
155;67;123;181	A9      	Sample 9   	None     	21.37	-            	Positive	Unchecked	Unknown    	-       	21.37  	0.00    	-                 	-                  	               	SYBR Green I	           	0.47 	2.77	None   	     	                 	9     
155;67;123;181	A10     	Sample 10  	None     	22.72	-            	Positive	Unchecked	Unknown    	-       	22.72  	0.00    	-                 	-                  	               	SYBR Green I	           	0.32 	2.87	None   	     	                 	10    
155;67;123;181	A11     	Sample 11  	None     	22.64	-            	Positive	Unchecked	Unknown    	-       	22.64  	0.00    	-                 	-                  	               	SYBR Green I	           	0.30 	2.81	None   	     	                 	11    
155;67;123;181	A12     	Sample 12  	None     	22.75	-            	Positive	Unchecked	Unknown    	-       	22.75  	0.00    	-                 	-                  	               	SYBR Green I	           	0.30 	2.82	None   	     	                 	12    
155;67;123;181	B1      	Sample 13  	None     	21.96	-            	Positive	Unchecked	Unknown    	-       	21.96  	0.00    	-                 	-                  	               	SYBR Green I	           	0.83 	3.56	None   	     	                 	13    
155;67;123;181	B2      	Sample 14  	None     	21.87	-            	Positive	Unchecked	Unknown    	-       	21.87  	0.00    	-                 	-                  	               	SYBR Green I	           	0.76 	3.42	None   	     	                 	14    
155;67;123;181	B3      	Sample 15  	None     	21.89	-            	Positive	Unchecked	Unknown    	-       	21.89  	0.00    	-                 	-                  	               	SYBR Green I	           	0.74 	3.35	None   	     	                 	15    
155;67;123;181	B4      	Sample 16  	None     	22.63	-            	Positive	Unchecked	Unknown    	-       	22.63  	0.00    	-                 	-                  	               	SYBR Green I	           	0.72 	3.11	None   	     	                 	16    
155;67;123;181	B5      	Sample 17  	None     	22.60	-            	Positive	Unchecked	Unknown    	-       	22.60  	0.00    	-                 	-                  	               	SYBR Green I	           	0.73 	3.15	None   	     	                 	17    
155;67;123;181	B6      	Sample 18  	None     	22.72	-            	Positive	Unchecked	Unknown    	-       	22.72  	0.00    	-                 	-                  	               	SYBR Green I	           	0.71 	3.08	None   	     	                 	18    
155;67;123;181	B7      	Sample 19  	None     	23.13	-            	Positive	Unchecked	Unknown    	-       	23.13  	0.00    	-                 	-                  	               	SYBR Green I	           	0.63 	2.88	None   	     	                 	19    
155;67;123;181	B8      	Sample 20  	None     	23.06	-            	Positive	Unchecked	Unknown    	-       	23.06  	0.00    	-                 	-                  	               	SYBR Green I	           	0.68 	2.99	None   	     	                 	20    
155;67;123;181	B9      	Sample 21  	None     	23.05	-            	Positive	Unchecked	Unknown    	-       	23.05  	0.00    	-                 	-                  	               	SYBR Green I	           	0.70 	3.05	None   	     	                 	21    
155;67;123;181	B10     	Sample 22  	None     	23.33	-            	Positive	Unchecked	Unknown    	-       	23.33  	0.00    	-                 	-                  	               	SYBR Green I	           	0.70 	3.41	None   	     	                 	22    
155;67;123;181	B11     	Sample 23  	None     	23.48	-            	Positive	Unchecked	Unknown    	-       	23.48  	0.00    	-                 	-                  	               	SYBR Green I	           	0.70 	3.44	None   	     	                 	23    
